,Comments
3864,b'Just called @AppleSupport and it was the most advanced automated help service I\xe2\x80\x99ve experienced. #thefuture'
3865,b'@AppleSupport Thoughts? https://t.co/GGi9yefWOC'
3866,b'@AppleSupport we tried the link fir updating our business location in maps on next but no luck getting calls to our extension. Can someone help us by talking to us . Our maps show an old location for our medical practice'
3867,b'@applesupport bling'
3868,b'I\xe2\x80\x99ve got the iPhone 12 Max Pro. I feel so stupid for believing the @Apple Ceramic Shield Display. I\xe2\x80\x99ve got an expensive phone with so many scratches on it. @AppleSupport #shouldhaveputitinacase #believedthehype #applefanboy'
3869,b'RT @athenastevens: Hey @AppleSupport is there a way to change the \xe2\x80\x98double click to pay\xe2\x80\x99 feature. Those of us with disabilities affecting fi\xe2\x80\xa6'
3870,b'@AppleSupport you send a upgrade with some command line for execute a damage to the battery'
3871,b'@AppleSupport But lats days my iPad it rebooted. So I had to install the iOS but now my battery not retains the charge... I never executed the iOS upgrade... But that action is a trash'
3872,b'RT @athenastevens: Hey @AppleSupport is there a way to change the \xe2\x80\x98double click to pay\xe2\x80\x99 feature. Those of us with disabilities affecting fi\xe2\x80\xa6'
3873,b'@AppleSupport I have the air ipad 2 since I think that I was the first on got that ipad. I never executed the upgrade because. I read that apple company delivery a new actualization for OS. Continue'
3874,"b'RT @AppleSupport: Your privacy is important. Why not take a minute to revisit your settings?\n\nTo learn what each privacy setting does, chec\xe2\x80\xa6'"
3875,b'hi there @applesupport blingest of days to you'
3876,b'hey @applesupport bling'
3877,b'So I am watching \xe2\x80\x9cAliens\xe2\x80\x9d on Disney Plus on my Mac Book Pro and it keeps on cutting of and saying its using significant memory. My question is how do I fix this? @AppleSupport'
3878,"b""Actually impressed with the guy from @AppleSupport customer service today. Y'all need to give  Panagiotis a raise. He was so helpful that hands down this gotta be the best customer service I've revieved!"""
3879,"b""@AppleSupport I thought that too except there IS an account with my name, birthdate and that email address. The only reason I figured it wasn't phishing is because I got a follow up email about someone signing into icloud on a Mac. Reset the password and was able to remove the macs"""
3880,b'@AppleSupport Surprised to discover that this is quite useful.'
3881,"b'@Apple @AppleSupport why are straight objects bending inward so much toward the edges of the frame, lately? This a normal set up, no zooming or wideangle take, I\xe2\x80\x99m using an iPhone 11, latest iOS. https://t.co/5nLwu17d96'"
3882,b'Apple really needs to fix the new message freeze issue! It\xe2\x80\x99s getting annoying @Apple @AppleSupport https://t.co/NWPg4wcaWs'
3883,"b""@Legionof991 @AppleSupport So basically it's the same as accepting cookies browsing the net according to the article."""
3884,"b'@m750 @woot @Apple Good suggestion- hadn\xe2\x80\x99t considered repair/sell as option, so thanks.  I wish I had properly tagged as @AppleSupport from the beginning this AM. I do like the certified repair shop that helped w/phone &amp; DD\xe2\x80\x99s MacBook. Also logistically easier. I\xe2\x80\x99m just kinda frustrated RN.'"
3885,b'@aaronhairee @AppleSupport You are supposed to be a large company about time you acted like one'
3886,"b""@AppleSupport I just sent a DM with a screenshot of my Macbook Air's MacOS and storage specs."""
3887,b'@AppleSupport can a history of #ApplePay transaction in iMessage?'
3888,"b""jesus christ @AppleSupport updates should not alter system settings without warning! Don't take away my root access on my own machine.  https://t.co/NsphwsO0XQ"""
3889,b'How do you unpair #applewatch @AppleSupport'
3890,"b'@AppleSupport My mum has not had an iPhone for a couple of years now, however she is still being charged for her iCloud storage. How can this stop and be cancelled asap.'"
3891,"b'RT @AppleSupport: Complete. Cursor. Control. \n\nYou can touch and hold the Space bar on your iPhone or iPad, and then drag your finger to mo\xe2\x80\xa6'"
3892,b'@AppleSupport Can you help me.\nI bought a Apple Watch but I do have a i P smart phone\nCan I use it with an i phone i Phon?\n\nRoger'
3893,b'@AppleSupport Done'
3894,"b'@BeeeJack @AppleSupport Ahhhhhh, that makes sense. Thanks for clearing it up!'"
3895,"b'@AppleSupport I have tried a few times, but the issue still persists on my end. My wifi connection is strong, but I\xe2\x80\x99m unable to do this for iOS. My iPads (both of them) seem to be able to connect and find the iPadOS updates.'"
3896,"b'RT @jesgarrigan: Check out the new Apple for Kids support page to explore how to manage family sharing, set up your child\xe2\x80\x99s device, and kee\xe2\x80\xa6'"
3897,b'@IAmMichaelRM @AppleSupport New Pac-Man feature. You were supposed to eat the dots'
3898,"b'RT @AppleSupport: Complete. Cursor. Control. \n\nYou can touch and hold the Space bar on your iPhone or iPad, and then drag your finger to mo\xe2\x80\xa6'"
3899,b'@AppleSupport Need to recharge my US Apple account without having a US credit card - what\xe2\x80\x99s the workaround?'
3900,b'RT @ipgmail: @AppleSupport This is one of my favorite things. The engineer who did this deserves a big promotion.'
3901,"b'RT @jesgarrigan: Check out the new Apple for Kids support page to explore how to manage family sharing, set up your child\xe2\x80\x99s device, and kee\xe2\x80\xa6'"
3902,b'@AppleSupport Thanks'
3903,"b'@ntgard @AppleSupport Another option would be to use Apple\xe2\x80\x99s Feedback Assistant, but it\xe2\x80\x99s quite clunky imo \xe2\x80\x94 https://t.co/VTZETd8loN\n\n(Perhaps @jensimmons or @jonathandavis can chime in here?)'"
3904,"b'@AppleSupport Hi, I have tried to get support on the website, however, it keeps saying that my serial number is for a different product. The issue that I am having is that my airpods appear to be burnt after charging. There are black charred stains and they do connect correctly.'"
3905,"b'Fellow #applewatch runners, anyone know what the grey dots mean? Loss of signal? \xe2\x81\xa6@AppleSupport\xe2\x81\xa9 do you know? https://t.co/loqjeBjwEh'"
3906,b'@AppleSupport I\xe2\x80\x99ve noticed I\xe2\x80\x99m able to get into my iCloud account and store via my laptop but not my iPhone atm.'
3907,"b'RT @AppleSupport: Complete. Cursor. Control. \n\nYou can touch and hold the Space bar on your iPhone or iPad, and then drag your finger to mo\xe2\x80\xa6'"
3908,"b'6 weeks guys. 6 weeks. With all the back and forth. Yeah, just finally ran out of patience @AppleMusic @AppleSupport'"
3909,b'@Apple @AppleSupport apple device i need to restart bluetooth every time  to  still connecting !!!! What esteemed company is this @Huawei time to shifting after 10 years using apple devices https://t.co/m3wr6UAiJm'
3910,b'@Apple @AppleSupport two brand new MacBook Air M1s purchased and delivered several weeks apart. BOTH SMELL MOLDY and your terrible advisers won\xe2\x80\x99t help. It\xe2\x80\x99s pathetic. @NBCNewsTech @HuffPostTech @techradar @Gizmodo'
3911,b'@AppleSupport 1.  iPhone 12 mini     2.  iOS 14.4     3.  I\xe2\x80\x99ve tried taking it off WiFi and used 5g and also have rebooted my device.'
3912,b'RT @bobtiki: \xe2\x81\xa6@AppleNews\xe2\x81\xa9 \xe2\x81\xa6@AppleSupport\xe2\x81\xa9 How do I get the News app to stop showing me prompts to show news sources I have blocked? I block\xe2\x80\xa6'
3913,"b'@AppleSupport been put on hold for over an hour after being told I\xe2\x80\x99d be called back today,  to then find they closed! Disgraceful service'"
3914,b'And this is after being bounced around by @AppleSupport over a period of 6 weeks and counting. Are we a joke to you guys @AppleMusic @Apple? Fix this!'
3915,"b'Why does @AppleSupport every 2 minutes switches a rep when texting/emailing on a case, &amp; playing dumb asking customers 2 spill the beans on their tech issue? What a lousy service 4 a wealthy company! @Apple I figure out the solution in moments compared 2 weeks by them, \xf0\x9f\xa4\x94hire me?'"
3916,b'@Apple @AppleSupport should make an app where it give you only stores that have Apple Pay'
3917,"b'Is there actual @AppleSupport for @AppleMusic? With a real policy to support customers that they\'re legally contracted to? And not some silly corporate line like ""we\'re not allowed to support you/your region""'"
3918,"b""@AppleSupport I got a notice that I have 5 days left to trade in my iPhone. How about I supposed to do that when you haven't sent me the box to ship it back in???"""
3919,"b'Hey @AppleSupport your latest iOS update is crashing on a current iPad almost every time I try and open a URL. This happens across browsers, and apps. What is a timeline for a fix? Seriously, this needs fixing....'"
3920,"b'RT @AppleSupport: Get your friend\xe2\x80\x99s attention in a group conversation. Mention them.\n\nHere\xe2\x80\x99s how to mention someone in Messages for iPhone,\xe2\x80\xa6'"
3921,"b'RT @AppleSupport: Complete. Cursor. Control. \n\nYou can touch and hold the Space bar on your iPhone or iPad, and then drag your finger to mo\xe2\x80\xa6'"
3922,"b'@AppleSupport Hi, had contacted before because my trade in was returned, no idea why the laptop in perfect condition outside of rubber feet. Also my new M1 MacBook Air having performance issues doing same thing as that 2014 pro - can you pleas help?'"
3923,"b'@Apple who am I supposed to find my AirPods if they are in the case, and find my iPhone can not play the sound or have a current location?\xf0\x9f\xa4\xa8 Can y\xe2\x80\x99all find a solution to this problem please. @AppleSupport'"
3924,b'@AppleSupport It\xe2\x80\x99s iOS14.4'
3925,"b'Wouldn\xe2\x80\x99t it be nice if you could name files on iOS in the photos apps? I can\xe2\x80\x99t be the only one that edits photos &amp; videos and gets confused with which is which. You can do it with the Files app, but not unless they are saved into something other than photos. @Apple @AppleSupport'"
3926,b'@mariahsblink @AppleSupport Well then keep complaining'
3927,b'@AppleSupport  my iPhone 12 Pro silicone case is falling apart after only a few months of normal usage. Are you able to help me use the manufacturer\xe2\x80\x99s warranty please?'
3928,b'@AppleSupport Aye good looks gang'
3929,"b""@bramus @AppleSupport The bug doesn't affect other webkit browsers, though. Only Safari."""
3930,b'@AppleSupport yo my AirPods never work https://t.co/yQsj8c16Bg'
3931,b'@tim_cook @AppleSupport Can you make a short space grey keyboard and build a finger print reader into it? Thanks.'
3932,b'@AppleSupport Thank you \xe2\x80\x98 I am grateful but I live in Kenya!  Van you give me e-mail address please'
3933,"b""@AppleSupport can I give this to you or do you get 1000's? Here is the email address it came from:\n\nscureapplckdax28auwiappsueia78sy282919023-32136@andi37.scuredunlck.com https://t.co/IhrxziXTVD"""
3934,b'@AppleTV @AppleSupport hi. When I was looking at buying the Lord of the Rings extended version on Apple TV on my MBP it listed incorrect films. It says \xe2\x80\x9cExtended\xe2\x80\x9d but they\xe2\x80\x99re the shorter versions as I see them in my library. How do I make them the Extended versions? https://t.co/LSrWkboUun'
3935,"b'@lemmk @AppleSupport Yes, same @AppleSupport. I can\'t send an email via Mail app on my laptop. Getting a message ""Could not be moved to the mailbox \'iCloud.\' Server returned the error. Server busy."" And when I logged in via Chrome it said iCloud encountered an error when trying to connect to server.'"
3936,"b'RT @jesgarrigan: Check out the new Apple for Kids support page to explore how to manage family sharing, set up your child\xe2\x80\x99s device, and kee\xe2\x80\xa6'"
3937,b'@TrakinTech @RedmiIndia @AppleSupport  @tim_cook this is what we want'
3938,"b""@AppleSupport Hello,ive had this problem for a long time now and it's getting annoying.\nSo I changed my apple id's email address a long time ago.\nI had a lot of problems with it but i managed to fix them except for one,i dont really know how to explain it but whenever i try to-"""
3939,"b""@AppleSupport That's the problem. I'm forced to enable 2FA now because of the new policy. To do so, I need to enter my security questions, but I can't and I can't reset them either because it keeps telling me insufficient information"""
3940,b'@AppleSupport Thanks'
3941,"b""@AppleSupport Someone posing as Apple Support has called at least 7 times to my landline with a robo call..If I don't answer they leave a message. They say to return their call ar 315 232 8257. Surely this is illegal to harass someone like this! @Ask_Spectrum"""
3942,b'@applesupport are yall makin new games on the pippin'
3943,"b'RT @jesgarrigan: Check out the new Apple for Kids support page to explore how to manage family sharing, set up your child\xe2\x80\x99s device, and kee\xe2\x80\xa6'"
3944,"b""@AppleSupport Hi! I just got a sketchy email about my account using my email signing into a Mac. I don't own a Mac, so I went in and reset my password, and it says country/region Singapore.... I'm trying to change it but it's asking for payment info?"""
3945,"b""@Apple I tried so many Times but I didn't get any response from Anyone..\nThen I decided to do this that Ask directly to you and tell you that how to get iphone 12 mini free ..?\nCan You please arrange me that cell phone For my future Study's..! @Apple @AppleSupport @AppleEDU"""
3946,"b'@AppleSupport So basically wht feedback i got frm @Apple is, the lock screen behaviour is expected which means despite of using 12 hour clock @Apple #iPhone12Pro wont show it on lock screen! lol its better to remove it &amp; just give 24hrs! Big Salute to Creators of lock screen! #ios14homescreen'"
3947,b'Your silence is deafening @AppleSupport'
3948,"b'Hey @AppleSupport! Where is my #MacbookPro. It\'s been 4 weeks since @apple &amp; @FedEx lost it. You asked for 1,2,3,4, now a 5th week to ""investigate"". You didn\'t get a signature &amp; left it in a lobby my building doesn\'t have. What are you investigating. Where is my #MacBook ? https://t.co/I9uqqzNHxJ'"
3949,b'@AppleSupport Been using this for years'
3950,"b""@AppleSupport Yo, I wanna report someone who's abusing the apple refund algorithm from Roblox."""
3951,"b'@x71n3 @matthew_d_green Are you \xe2\x80\x9clistening\xe2\x80\x9d @AppleSupport ? BTW, the BT GUI is still terrible. Just a mess.'"
